id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
1,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for machinery spaces?",Machine rooms and spaces,"machinery spaces section for hoistways, pits, and related construction",General requirements for machinery spaces,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
2,"A question asks about hoistways. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for hoistways,Maintenance control program,hoistways section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
3,"If you had to find rules for buffers in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for buffers,Maintenance control program,"buffers section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
4,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for door reopening devices?,Machine rooms and spaces,Maintenance control program,General requirements for door reopening devices,"door reopening devices section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
5,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for standby power?",Machine rooms and spaces,"standby power section for hoistways, pits, and related construction",General requirements for standby power,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
6,"A question asks about controller access. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,Maintenance control program,"controller access section for hoistways, pits, and related construction",General requirements for controller access,A,ASME A17.1,table of contents navigation,toc_navigation
7,"If you had to find rules for top-of-car clearances in ASME A17.1, where should you begin?",Machine rooms and spaces,"top-of-car clearances section for hoistways, pits, and related construction",General requirements for top-of-car clearances,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
8,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for escalator skirt panels?,Machine rooms and spaces,General requirements for escalator skirt panels,Maintenance control program,"escalator skirt panels section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
9,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for combplates?",General requirements for combplates,"combplates section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
10,"A question asks about moving walks. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,moving walks section for car and counterweight safeties,General requirements for moving walks,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
11,"If you had to find rules for wheelchair turning space in ASME A17.1, where should you begin?","wheelchair turning space section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for wheelchair turning space,C,ASME A17.1,table of contents navigation,toc_navigation
12,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for governors?,governors section for car and counterweight safeties,General requirements for governors,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
13,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for counterweights?",Maintenance control program,Machine rooms and spaces,General requirements for counterweights,counterweights section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
14,"A question asks about emergency operations. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,Machine rooms and spaces,General requirements for emergency operations,"emergency operations section for hoistways, pits, and related construction",B,ASME A17.1,table of contents navigation,toc_navigation
15,"If you had to find rules for inspections in ASME A17.1, where should you begin?",General requirements for inspections,inspections section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
16,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for acceptance inspections?,General requirements for acceptance inspections,Machine rooms and spaces,Maintenance control program,"acceptance inspections section for hoistways, pits, and related construction",B,ASME A17.1,table of contents navigation,toc_navigation
17,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for existing installations?",General requirements for existing installations,Maintenance control program,existing installations section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
18,"A question asks about conveyor guarding. Using the ASME A17.1 table of contents, what is the best first move?",conveyor guarding section for car and counterweight safeties,General requirements for conveyor guarding,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
19,"If you had to find rules for demolition protection in ASME A17.1, where should you begin?",General requirements for demolition protection,"demolition protection section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
20,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for grounding?,General requirements for grounding,"grounding section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
21,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for lighting?",General requirements for lighting,lighting section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
22,"A question asks about pit ladders. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,Maintenance control program,pit ladders section for car and counterweight safeties,General requirements for pit ladders,A,ASME A17.1,table of contents navigation,toc_navigation
23,"If you had to find rules for car operating panels in ASME A17.1, where should you begin?","car operating panels section for hoistways, pits, and related construction",General requirements for car operating panels,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
24,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for accessibility dimensions?,Maintenance control program,General requirements for accessibility dimensions,Machine rooms and spaces,accessibility dimensions section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
25,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for shunt trip?",General requirements for shunt trip,shunt trip section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
26,"A question asks about machine rooms. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for machine rooms,machine rooms section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
27,"If you had to find rules for control spaces in ASME A17.1, where should you begin?",Machine rooms and spaces,control spaces section for car and counterweight safeties,Maintenance control program,General requirements for control spaces,A,ASME A17.1,table of contents navigation,toc_navigation
28,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for pits?,Machine rooms and spaces,General requirements for pits,Maintenance control program,"pits section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
29,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for car enclosures?",General requirements for car enclosures,Maintenance control program,"car enclosures section for hoistways, pits, and related construction",Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
30,"A question asks about fire service. Using the ASME A17.1 table of contents, what is the best first move?","fire service section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for fire service,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
31,"If you had to find rules for electrical disconnects in ASME A17.1, where should you begin?",Machine rooms and spaces,"electrical disconnects section for hoistways, pits, and related construction",General requirements for electrical disconnects,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
32,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for working clearances?,Machine rooms and spaces,working clearances section for car and counterweight safeties,General requirements for working clearances,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
33,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for refuge spaces?",General requirements for refuge spaces,Maintenance control program,refuge spaces section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
34,"A question asks about handrails. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for handrails,Machine rooms and spaces,Maintenance control program,"handrails section for hoistways, pits, and related construction",B,ASME A17.1,table of contents navigation,toc_navigation
35,"If you had to find rules for step demarcation in ASME A17.1, where should you begin?",Machine rooms and spaces,step demarcation section for car and counterweight safeties,Maintenance control program,General requirements for step demarcation,A,ASME A17.1,table of contents navigation,toc_navigation
36,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for platform lift landings?,"platform lift landings section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for platform lift landings,C,ASME A17.1,table of contents navigation,toc_navigation
37,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for door locking devices?","door locking devices section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for door locking devices,C,ASME A17.1,table of contents navigation,toc_navigation
38,"A question asks about safeties. Using the ASME A17.1 table of contents, what is the best first move?","safeties section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for safeties,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
39,"If you had to find rules for signage in ASME A17.1, where should you begin?",signage section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for signage,C,ASME A17.1,table of contents navigation,toc_navigation
40,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for maintenance records?,Machine rooms and spaces,General requirements for maintenance records,Maintenance control program,maintenance records section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
